Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,35.959999,37.759998,35.900002,37.730000,37.730000,22688700
2020-01-03,36.779999,38.540001,36.680000,37.990002,37.990002,16929900
2020-01-06,37.459999,38.080002,37.380001,38.000000,38.000000,9740100
2020-01-07,38.080002,38.610001,37.639999,38.320000,38.320000,10131300
2020-01-08,38.020000,38.849998,37.980000,38.299999,38.299999,11434700
2020-01-09,38.840000,39.099998,38.700001,38.900002,38.900002,10783100
2020-01-10,39.389999,39.500000,38.730000,39.110001,39.110001,10330500
2020-01-13,39.680000,40.985001,39.630001,40.310001,40.310001,20839500
2020-01-14,40.029999,40.459999,39.590000,40.290001,40.290001,12398500
2020-01-15,40.020000,40.455002,39.549999,39.779999,39.779999,9567600
2020-01-16,40.180000,40.270000,39.404999,39.560001,39.560001,8572200
2020-01-17,39.830002,40.384998,39.709999,40.349998,40.349998,9941900
2020-01-21,39.275002,40.160000,39.049999,40.060001,40.060001,13169800
2020-01-22,40.529999,42.000000,40.500000,40.970001,40.970001,16055400
2020-01-23,39.990002,40.830002,39.939999,40.770000,40.770000,14605400
2020-01-24,40.759998,40.970001,39.189999,39.549999,39.549999,14322200
2020-01-27,36.990002,38.840000,36.349998,37.650002,37.650002,22995500
2020-01-28,38.380001,39.115002,37.683998,38.910000,38.910000,14197300
2020-01-29,39.189999,39.520000,38.790001,39.139999,39.139999,9726600
2020-01-30,38.200001,38.689999,37.540001,38.490002,38.490002,12593300
2020-01-31,38.049999,38.450001,37.570000,37.689999,37.689999,12075200
2020-02-03,38.000000,39.536999,38.000000,39.200001,39.200001,13568200
2020-02-04,40.310001,41.279999,40.064999,40.349998,40.349998,16286600
2020-02-05,40.860001,40.959999,39.450001,39.939999,39.939999,12503400
2020-02-06,40.410000,40.970001,40.060001,40.380001,40.380001,9087300
2020-02-07,39.820000,40.369999,39.779999,39.990002,39.990002,9500300
2020-02-10,40.049999,40.160000,39.560001,40.099998,40.099998,7225300
2020-02-11,40.549999,41.855999,40.500000,40.779999,40.779999,11347100
2020-02-12,41.570000,42.340000,41.230000,41.639999,41.639999,15260500
2020-02-13,41.150002,42.410000,41.060001,42.009998,42.009998,15308700
2020-02-14,42.130001,42.575001,41.590000,41.970001,41.970001,9165900
2020-02-18,42.419998,42.790001,41.660000,42.320000,42.320000,11851700
2020-02-19,42.830002,43.090000,42.529999,42.950001,42.950001,10717700
2020-02-20,42.990002,43.000000,41.330002,41.480000,41.480000,13569100
2020-02-21,41.470001,41.480000,40.160000,40.419998,40.419998,11045400
2020-02-24,38.500000,39.580002,38.380001,39.369999,39.369999,14263200
2020-02-25,40.000000,40.349998,38.400002,38.840000,38.840000,14776100
2020-02-26,39.389999,40.189999,39.250000,39.919998,39.919998,15399200
2020-02-27,39.230000,39.680000,38.020000,38.400002,38.400002,17145000
2020-02-28,37.009998,38.730000,36.814999,38.509998,38.509998,22978900
2020-03-02,41.380001,44.119999,40.250000,43.299999,43.299999,45794500
2020-03-03,43.560001,44.049999,40.110001,41.459999,41.459999,29036500
2020-03-04,42.490002,44.759998,42.410000,43.910000,43.910000,22143600
2020-03-05,42.549999,45.340000,42.549999,44.619999,44.619999,24148600
2020-03-06,43.000000,43.849998,41.200001,42.160000,42.160000,25393700
2020-03-09,40.099998,41.794998,39.200001,39.910000,39.910000,26241900
2020-03-10,41.389999,42.580002,40.605000,41.799999,41.799999,21203800
2020-03-11,40.410000,43.080002,40.410000,41.529999,41.529999,27069600
2020-03-12,38.849998,39.790001,37.369999,38.259998,38.259998,30770700
2020-03-13,41.009998,41.209999,37.439999,39.709999,39.709999,22982900
2020-03-16,36.099998,38.919998,32.700001,35.240002,35.240002,25203900
2020-03-17,37.660000,39.980000,36.259998,38.349998,38.349998,27822600
2020-03-18,36.000000,38.349998,35.549999,37.700001,37.700001,23689500
2020-03-19,37.509998,38.900002,36.560001,37.209999,37.209999,25834000
2020-03-20,38.349998,39.270000,37.570000,37.660000,37.660000,21050400
2020-03-23,38.180000,39.294998,36.220001,38.610001,38.610001,18926300
2020-03-24,39.910000,42.310001,39.910000,41.009998,41.009998,24405700
2020-03-25,41.349998,42.930000,40.520000,41.349998,41.349998,18686200
2020-03-26,41.709999,43.959999,40.330002,42.009998,42.009998,20472700
2020-03-27,40.619999,41.320000,39.919998,40.150002,40.150002,12299800
2020-03-30,40.869999,41.180000,39.509998,40.389999,40.389999,14771100
