Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,5.530000,5.880000,5.530000,5.880000,5.880000,1328900
2020-01-03,5.750000,5.960000,5.665000,5.880000,5.880000,1728900
2020-01-06,5.830000,5.920000,5.760000,5.900000,5.900000,644600
2020-01-07,5.920000,5.990000,5.880000,5.980000,5.980000,1095500
2020-01-08,5.990000,6.460000,5.930000,6.430000,6.430000,3716200
2020-01-09,6.450000,6.540000,6.230000,6.260000,6.260000,1824500
2020-01-10,6.320000,6.330000,6.010000,6.130000,6.130000,1669100
2020-01-13,6.210000,6.450000,6.180000,6.390000,6.390000,2158500
2020-01-14,6.370000,6.466000,6.330000,6.420000,6.420000,2823200
2020-01-15,6.380000,6.440000,6.300000,6.400000,6.400000,1609900
2020-01-16,6.380000,6.460000,6.250000,6.370000,6.370000,1047700
2020-01-17,6.440000,6.440000,6.280000,6.410000,6.410000,746000
2020-01-21,6.290000,6.540000,6.280000,6.430000,6.430000,1487600
2020-01-22,6.460000,6.520000,6.110000,6.170000,6.170000,2114800
2020-01-23,6.110000,6.340000,5.960000,6.330000,6.330000,1508900
2020-01-24,6.370000,6.370000,6.050000,6.080000,6.080000,1379000
2020-01-27,5.660000,5.940000,5.640000,5.720000,5.720000,1479900
2020-01-28,5.680000,5.970000,5.680000,5.880000,5.880000,1112300
2020-01-29,5.960000,5.970000,5.750000,5.770000,5.770000,674200
2020-01-30,5.650000,5.790000,5.600000,5.710000,5.710000,992200
2020-01-31,5.670000,5.740000,5.300000,5.310000,5.310000,1433000
2020-02-03,5.310000,5.436000,5.200000,5.210000,5.210000,1428000
2020-02-04,5.340000,5.600000,5.340000,5.550000,5.550000,3853300
2020-02-05,5.570000,5.675000,5.420000,5.430000,5.430000,720200
2020-02-06,5.460000,5.590000,5.455000,5.510000,5.510000,1747400
2020-02-07,5.460000,5.570000,5.280000,5.360000,5.360000,1107500
2020-02-10,5.320000,5.430000,5.244000,5.290000,5.290000,1012300
2020-02-11,5.400000,5.550000,5.320000,5.440000,5.440000,1351600
2020-02-12,5.510000,5.620000,5.482000,5.550000,5.550000,1210100
2020-02-13,5.540000,5.570000,5.430000,5.560000,5.560000,863600
2020-02-14,5.540000,5.580000,5.380000,5.440000,5.440000,891100
2020-02-18,5.500000,5.510000,5.370000,5.500000,5.500000,1125000
2020-02-19,5.530000,5.720000,5.480000,5.720000,5.720000,955900
2020-02-20,5.710000,5.792000,5.580000,5.660000,5.660000,1084600
2020-02-21,5.640000,5.640000,5.420000,5.480000,5.480000,948600
2020-02-24,5.200000,5.390000,5.200000,5.330000,5.330000,1173700
2020-02-25,5.410000,5.490000,5.320000,5.460000,5.460000,1514600
2020-02-26,5.500000,5.545000,5.240000,5.250000,5.250000,1274900
2020-02-27,5.210000,5.420000,5.170000,5.310000,5.310000,1338100
2020-02-28,5.210000,5.410000,5.080000,5.410000,5.410000,2397500
2020-03-02,5.440000,5.440000,5.050000,5.260000,5.260000,2165800
2020-03-03,5.250000,5.420000,5.120000,5.400000,5.400000,1475900
2020-03-04,5.390000,5.440000,4.890000,5.010000,5.010000,1813900
2020-03-05,4.960000,5.290000,4.950000,5.250000,5.250000,1972000
2020-03-06,5.120000,5.320000,5.060000,5.130000,5.130000,998000
2020-03-09,4.900000,5.040000,4.800000,4.950000,4.950000,1408300
2020-03-10,5.000000,5.050000,4.940000,5.040000,5.040000,1496900
2020-03-11,4.980000,5.130000,4.900000,4.970000,4.970000,1085900
2020-03-12,5.000000,5.150000,4.750000,5.040000,5.040000,2092700
2020-03-13,5.100000,5.150000,4.740000,5.120000,5.120000,1552500
2020-03-16,4.780000,4.920000,4.630000,4.640000,4.640000,2053800
2020-03-17,4.650000,5.380000,4.520000,5.350000,5.350000,2985000
2020-03-18,4.810000,5.290000,4.810000,5.190000,5.190000,1746500
2020-03-19,5.150000,5.400000,5.070000,5.310000,5.310000,2095600
2020-03-20,5.300000,5.400000,4.970000,5.120000,5.120000,1914000
2020-03-23,5.040000,5.120000,4.900000,4.910000,4.910000,1463200
2020-03-24,5.040000,5.155000,4.900000,5.000000,5.000000,1200700
2020-03-25,5.000000,5.400000,4.980000,5.340000,5.340000,3469500
2020-03-26,5.280000,5.470000,5.160000,5.300000,5.300000,1300500
2020-03-27,5.160000,5.240000,5.000000,5.140000,5.140000,731700
2020-03-30,5.150000,5.200000,5.000000,5.110000,5.110000,919100
