Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,216.600006,219.979996,216.539993,219.770004,219.770004,15873500
2020-01-03,216.350006,218.203003,216.009995,217.000000,217.000000,8604500
2020-01-06,214.889999,217.160004,214.089996,216.639999,216.639999,11885500
2020-01-07,217.639999,218.940002,216.690002,217.630005,217.630005,9388000
2020-01-08,216.600006,220.649994,216.320007,218.000000,218.000000,11959100
2020-01-09,221.500000,223.080002,220.820007,221.779999,221.779999,13122500
2020-01-10,223.899994,225.960007,222.061005,223.830002,223.830002,12296000
2020-01-13,228.809998,231.139999,227.039993,230.479996,230.479996,17544800
2020-01-14,230.050003,230.175003,224.880005,226.490005,226.490005,17266900
2020-01-15,226.649994,227.820007,224.389999,225.059998,225.059998,10743400
2020-01-16,226.300003,226.330002,222.729996,223.940002,223.940002,13700500
2020-01-17,225.899994,228.000000,225.350006,227.429993,227.429993,12956200
2020-01-21,222.449997,222.600006,220.729996,222.259995,222.259995,15831100
2020-01-22,224.690002,225.580002,222.000000,222.369995,222.369995,10059600
2020-01-23,217.929993,220.130005,216.770004,219.130005,219.130005,18519900
2020-01-24,218.490005,219.830002,211.324997,213.750000,213.750000,18143900
2020-01-27,201.220001,208.020004,199.500000,205.470001,205.470001,24574700
2020-01-28,209.740005,210.910004,207.169998,210.229996,210.229996,16196700
2020-01-29,212.559998,213.979996,209.520004,212.020004,212.020004,12871900
2020-01-30,207.880005,209.860001,205.029999,208.580002,208.580002,14376000
2020-01-31,206.500000,207.929993,204.727997,206.589996,206.589996,18181400
2020-02-03,208.669998,215.020004,208.669998,213.100006,213.100006,14131900
2020-02-04,221.350006,224.380005,220.490005,222.880005,222.880005,16695100
2020-02-05,226.520004,226.699997,217.539993,220.220001,220.220001,15766100
2020-02-06,223.130005,223.649994,219.779999,220.899994,220.899994,10790800
2020-02-07,217.460007,217.839996,214.880005,216.529999,216.529999,13790300
2020-02-10,213.500000,215.770004,212.199997,215.770004,215.770004,17420300
2020-02-11,219.910004,220.009995,215.289993,217.210007,217.210007,16073500
2020-02-12,221.130005,225.520004,220.210007,224.309998,224.309998,18671900
2020-02-13,220.000000,225.000000,218.990005,220.360001,220.360001,28069700
2020-02-14,221.100006,221.639999,218.229996,219.630005,219.630005,10690000
2020-02-18,218.550003,220.850006,217.509995,220.520004,220.520004,12987000
2020-02-19,221.520004,223.559998,220.750000,222.139999,222.139999,10798100
2020-02-20,222.500000,222.500000,214.220001,218.039993,218.039993,14950100
2020-02-21,217.539993,217.600006,211.559998,212.589996,212.589996,17681200
2020-02-24,203.550003,207.279999,202.509995,206.160004,206.160004,19380200
2020-02-25,208.509995,209.949997,204.100006,205.610001,205.610001,18132400
2020-02-26,206.800003,213.080002,206.789993,208.740005,208.740005,19482100
2020-02-27,205.009995,209.970001,201.860001,205.029999,205.029999,22741200
2020-02-28,198.979996,208.919998,198.561005,208.000000,208.000000,31276200
2020-03-02,208.589996,211.110001,203.755997,210.979996,210.979996,21542200
2020-03-03,211.080002,211.389999,202.240005,207.410004,207.410004,20813800
2020-03-04,209.490005,212.699997,208.850006,211.960007,211.960007,12474400
2020-03-05,210.000000,215.149994,209.139999,211.460007,211.460007,13462900
2020-03-06,206.699997,207.000000,201.100006,204.639999,204.639999,21700500
2020-03-09,195.619995,199.889999,193.929993,197.660004,197.660004,25502600
2020-03-10,205.529999,207.449997,200.800003,206.389999,206.389999,19022600
2020-03-11,201.649994,203.100006,196.110001,198.910004,198.910004,18908200
2020-03-12,186.500000,190.487000,183.929993,185.100006,185.100006,30247100
2020-03-13,194.899994,195.990005,187.809998,194.000000,194.000000,23650500
2020-03-16,176.149994,188.000000,174.500000,178.850006,178.850006,26628500
2020-03-17,181.259995,189.389999,179.690002,184.809998,184.809998,19276500
2020-03-18,176.000000,182.410004,170.000000,180.000000,180.000000,22054200
2020-03-19,179.259995,187.250000,177.389999,180.880005,180.880005,20905700
2020-03-20,187.740005,188.300003,180.000000,181.300003,181.300003,21006100
2020-03-23,175.270004,178.500000,169.949997,176.339996,176.339996,22554700
2020-03-24,183.089996,188.800003,181.179993,185.750000,185.750000,20801500
2020-03-25,185.820007,195.190002,184.514999,188.559998,188.559998,19605200
2020-03-26,188.639999,196.320007,187.600006,195.320007,195.320007,15416800
2020-03-27,189.970001,192.740005,188.000000,188.589996,188.589996,13376400
2020-03-30,187.479996,191.479996,187.009995,191.270004,191.270004,12254400
