Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,19.469999,21.889999,19.299999,20.950001,20.950001,12629400
2020-01-03,20.549999,22.590000,20.530001,22.080000,22.080000,11520900
2020-01-06,21.459999,23.450001,21.410000,23.209999,23.209999,10695200
2020-01-07,23.170000,23.205000,22.420000,23.129999,23.129999,7407000
2020-01-08,22.920000,23.910000,22.190001,23.840000,23.840000,7880800
2020-01-09,24.290001,24.469999,22.870001,23.160000,23.160000,8422200
2020-01-10,22.570000,22.590000,20.830000,21.549999,21.549999,11025500
2020-01-13,22.350000,22.833000,21.850000,21.990000,21.990000,7101800
2020-01-14,22.000000,23.014999,21.980000,22.870001,22.870001,5563700
2020-01-15,22.930000,23.270000,22.760000,23.030001,23.030001,4048400
2020-01-16,23.580000,23.600000,22.760000,22.969999,22.969999,3051900
2020-01-17,23.110001,23.160000,22.410000,22.799999,22.799999,6592500
2020-01-21,22.510000,23.250000,22.139999,22.610001,22.610001,6813700
2020-01-22,22.799999,23.059999,22.530001,22.540001,22.540001,4416400
2020-01-23,22.000000,22.660000,21.750000,22.510000,22.510000,3872300
2020-01-24,22.870001,23.083000,21.590000,21.820000,21.820000,4052900
2020-01-27,20.850000,22.469999,20.610001,22.299999,22.299999,4487900
2020-01-28,22.610001,22.780001,21.990000,22.410000,22.410000,3137800
2020-01-29,22.590000,22.610001,22.040001,22.379999,22.379999,2122200
2020-01-30,22.080000,22.240000,20.780001,21.260000,21.260000,4479900
2020-01-31,21.280001,21.700001,21.129999,21.549999,21.549999,4058000
2020-02-03,21.549999,23.299999,21.510000,23.040001,23.040001,6806700
2020-02-04,23.780001,23.980000,23.257999,23.580000,23.580000,4123200
2020-02-05,24.100000,24.170000,22.757999,23.260000,23.260000,5373400
2020-02-06,23.660000,26.719999,23.160000,26.340000,26.340000,11637500
2020-02-07,26.020000,26.219999,24.520000,24.990000,24.990000,7705200
2020-02-10,25.889999,26.170000,24.830000,25.459999,25.459999,8481200
2020-02-11,25.760000,27.549999,25.760000,26.549999,26.549999,9339300
2020-02-12,27.549999,28.160000,27.059999,27.530001,27.530001,7957300
2020-02-13,27.440001,28.540001,27.360001,27.760000,27.760000,6367200
2020-02-14,28.280001,28.950001,27.830000,28.690001,28.690001,5147000
2020-02-18,29.000000,29.004999,26.646000,27.129999,27.129999,11429100
2020-02-19,27.370001,27.950001,27.370001,27.719999,27.719999,3682500
2020-02-20,27.980000,28.413000,27.000000,27.940001,27.940001,4955200
2020-02-21,27.990000,27.990000,26.719999,26.879999,26.879999,5892300
2020-02-24,25.705000,27.142000,25.280001,26.920000,26.920000,6715300
2020-02-25,27.600000,27.980000,26.580999,26.719999,26.719999,8947200
2020-02-26,27.600000,29.280001,27.070000,27.570000,27.570000,11267300
2020-02-27,27.000000,27.290001,25.754999,26.629999,26.629999,5991100
2020-02-28,25.500000,26.150000,24.559999,25.680000,25.680000,8621100
2020-03-02,26.480000,27.250000,25.860001,27.230000,27.230000,6444500
2020-03-03,27.420000,27.570000,25.850000,26.240000,26.240000,5497100
2020-03-04,26.770000,27.570000,26.719999,27.549999,27.549999,4342800
2020-03-05,27.110001,28.270000,27.070000,28.110001,28.110001,5839200
2020-03-06,27.250000,27.870001,25.930000,26.680000,26.680000,6600700
2020-03-09,24.760000,25.980000,23.700001,25.120001,25.120001,6248200
2020-03-10,26.209999,26.600000,25.115000,26.000000,26.000000,4025300
2020-03-11,25.450001,26.709999,25.160000,25.670000,25.670000,4800500
2020-03-12,23.980000,24.250000,22.840000,23.799999,23.799999,8105200
2020-03-13,25.000000,25.400000,22.230000,23.370001,23.370001,6556800
2020-03-16,21.110001,23.160000,20.000000,22.160000,22.160000,4817700
2020-03-17,23.049999,24.760000,21.295000,24.350000,24.350000,7198800
2020-03-18,22.040001,23.900000,19.250000,21.010000,21.010000,13855400
2020-03-19,21.299999,21.950001,20.000000,20.840000,20.840000,7021900
2020-03-20,21.799999,21.930000,20.000000,20.190001,20.190001,5957000
2020-03-23,20.000000,20.559999,19.450001,20.260000,20.260000,5392500
2020-03-24,21.350000,22.815001,21.129999,22.200001,22.200001,7557700
2020-03-25,22.620001,23.980000,22.500000,22.870001,22.870001,6298100
2020-03-26,23.070000,23.840000,22.660000,23.040001,23.040001,3560800
2020-03-27,22.170000,22.799999,22.049999,22.110001,22.110001,3315400
2020-03-30,22.400000,23.250000,22.150000,22.959999,22.959999,3996300
