Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,34.939999,37.270000,34.500000,36.970001,36.970001,6972300
2020-01-03,36.090000,36.700001,35.950001,36.180000,36.180000,2573300
2020-01-06,35.759998,35.910000,35.150002,35.689999,35.689999,2401700
2020-01-07,35.750000,37.840000,35.439999,37.330002,37.330002,8586000
2020-01-08,37.090000,37.459999,36.709999,36.869999,36.869999,4393000
2020-01-09,37.490002,37.950001,36.840000,37.119999,37.119999,3354700
2020-01-10,37.959999,37.990002,36.490002,36.700001,36.700001,3441400
2020-01-13,37.240002,38.000000,37.009998,37.650002,37.650002,6015900
2020-01-14,37.279999,38.509998,36.910000,38.500000,38.500000,5215700
2020-01-15,38.389999,38.509998,37.419998,37.560001,37.560001,5319900
2020-01-16,38.150002,38.450001,37.529999,38.450001,38.450001,5131000
2020-01-17,38.599998,38.950001,38.119999,38.939999,38.939999,6914000
2020-01-21,34.560001,35.910000,33.570000,35.860001,35.860001,24179900
2020-01-22,35.709999,36.290001,34.430000,34.450001,34.450001,15775700
2020-01-23,33.660000,34.380001,33.130001,34.259998,34.259998,9334800
2020-01-24,33.130001,33.349998,31.500000,31.900000,31.900000,13495300
2020-01-27,28.969999,32.759998,28.920000,31.450001,31.450001,21277800
2020-01-28,32.060001,33.320000,31.490000,32.950001,32.950001,11283500
2020-01-29,33.599998,33.599998,32.400002,32.860001,32.860001,7073500
2020-01-30,31.889999,33.230000,31.600000,33.160000,33.160000,8371900
2020-01-31,32.509998,32.950001,31.820000,32.130001,32.130001,9182000
2020-02-03,32.119999,33.259998,31.520000,32.340000,32.340000,8150000
2020-02-04,33.020000,34.270000,32.830002,34.099998,34.099998,8488600
2020-02-05,35.000000,35.099998,33.139999,33.930000,33.930000,7004500
2020-02-06,34.049999,34.410000,33.380001,34.070000,34.070000,7409000
2020-02-07,33.590000,33.970001,33.020000,33.869999,33.869999,5379400
2020-02-10,33.500000,33.560001,32.410000,32.660000,32.660000,7287500
2020-02-11,33.009998,34.160000,33.009998,33.790001,33.790001,6153200
2020-02-12,34.130001,34.689999,33.840000,34.310001,34.310001,6652200
2020-02-13,33.599998,33.799999,33.279999,33.689999,33.689999,3830400
2020-02-14,33.810001,33.840000,33.259998,33.419998,33.419998,1879600
2020-02-18,33.230000,33.689999,32.779999,33.639999,33.639999,3948400
2020-02-19,34.000000,35.049999,33.900002,34.790001,34.790001,5141100
2020-02-20,34.950001,35.549999,33.849998,33.860001,33.860001,4591100
2020-02-21,33.759998,33.779999,32.700001,33.060001,33.060001,5721300
2020-02-24,31.379999,31.870001,31.000000,31.260000,31.260000,8189800
2020-02-25,31.870001,31.990000,29.959999,30.150000,30.150000,9215600
2020-02-26,30.559999,31.260000,30.230000,30.250000,30.250000,4949100
2020-02-27,29.990000,30.910000,29.420000,30.010000,30.010000,8096200
2020-02-28,29.330000,30.379999,29.309999,30.360001,30.360001,6745000
2020-03-02,30.629999,30.700001,29.780001,30.500000,30.500000,5142300
2020-03-03,30.500000,30.959999,29.709999,29.940001,29.940001,9520300
2020-03-04,30.379999,30.780001,30.070000,30.549999,30.549999,4511400
2020-03-05,29.870001,30.790001,29.650000,29.950001,29.950001,7733800
2020-03-06,28.709999,30.110001,28.600000,29.620001,29.620001,8652800
2020-03-09,27.799999,28.670000,26.850000,26.900000,26.900000,12680100
2020-03-10,28.150000,29.100000,27.480000,29.030001,29.030001,7802900
2020-03-11,27.540001,28.320000,27.420000,27.549999,27.549999,7701700
2020-03-12,25.350000,26.870001,25.250000,25.910000,25.910000,12434000
2020-03-13,27.000000,27.120001,23.580000,25.070000,25.070000,16398400
2020-03-16,22.209999,24.240000,20.309999,22.540001,22.540001,9885200
2020-03-17,22.709999,23.990000,22.530001,23.100000,23.100000,6594000
2020-03-18,21.780001,22.879999,20.100000,21.629999,21.629999,13422400
2020-03-19,21.400000,24.110001,21.020000,23.049999,23.049999,9543700
2020-03-20,24.160000,25.420000,22.719999,22.770000,22.770000,11880900
2020-03-23,22.620001,23.260000,21.490000,22.080000,22.080000,8189300
2020-03-24,23.110001,24.440001,22.910000,23.520000,23.520000,9394400
2020-03-25,23.760000,25.090000,23.260000,24.080000,24.080000,10152300
2020-03-26,24.250000,25.889999,23.920000,25.020000,25.020000,8907300
2020-03-27,24.260000,24.389999,23.400000,23.459999,23.459999,5343200
2020-03-30,23.190001,23.450001,21.570000,22.510000,22.510000,8439200
